tx	gene_id	MCIC_FC_2024_111	MCIC_FD_2024_105	MCIC_FD_2024_204	MCIC_MD_2024_109	MCIC_MD_2024_113	MCIC_MD_2024_116
gnl|WGS:JAKSZP|L0F63_000001-T1_mrna	L0F63_000001	18.744188	36.217925	3.07255	27.476639	10.600389	9.592758
gnl|WGS:JAKSZP|L0F63_000002-T1_mrna	L0F63_000002	14.323497	67.294095	3.045137	51.937243	8.245183	8.464364
unassigned_transcript_1	L0F63_000003	0	0	0	0	0	0
unassigned_transcript_2	L0F63_000004	0	0	0	0	0	0
unassigned_transcript_3	L0F63_000005	0	0	0	0	0	0
unassigned_transcript_4	L0F63_000043	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000079-T1_mrna	L0F63_000079	63.747268	26.495424	63.072712	38.479598	70.104723	69.18155
unassigned_transcript_5	L0F63_000080	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000081-T1_mrna	L0F63_000081	38.655854	165.303055	24.8289	53.950456	28.047469	36.480732
gnl|WGS:JAKSZP|L0F63_000082-T1_mrna	L0F63_000082	1.819857	20.033793	0	2.391854	2.769081	0.544217
gnl|WGS:JAKSZP|L0F63_000113-T1_mrna	L0F63_000113	52.224884	121.321553	30.843512	81.23591	42.461846	50.006515
gnl|WGS:JAKSZP|L0F63_000114-T1_mrna	L0F63_000114	149.389805	104.568161	208.57358	79.885045	177.156635	246.855746
gnl|WGS:JAKSZP|L0F63_000144-T1_mrna	L0F63_000144	0	7.100741	1.197865	0	0	10.026571
gnl|WGS:JAKSZP|L0F63_000145-T1_mrna	L0F63_000145	2.121418	5.445253	1.18331	6.20794	0.341603	0
gnl|WGS:JAKSZP|L0F63_000176-T1_mrna	L0F63_000176	30.294337	93.377868	10.781675	89.973604	17.59061	13.265869
gnl|WGS:JAKSZP|L0F63_000205-T1_mrna	L0F63_000205	13.533031	15.328541	7.859193	13.909703	4.781388	9.351602
gnl|WGS:JAKSZP|L0F63_000206-T1_mrna	L0F63_000206	45.023659	85.356927	34.538644	194.860062	62.715827	33.829473
unassigned_transcript_6	L0F63_000265	0	0	0	0	0	0
gnl|WGS:JAKSZP|L0F63_000294-T1_mrna	L0F63_000294	106.81201	101.579405	15.19452	559.230077	16.569516	58.024971
